小区ID,城市,行政区,小区名称,户型分类,户型类型,标准面积,面积区间,户型租金/毛坯,租金/简易装修,租金/精装修,租金/豪华装修,租金/付款方式,更新时间
---,杭州,上城区,春江花月,4室1厅,---,11,"(1, 11]",2130,2130,2130,2130,押一付三,---
---,杭州,上城区,赞成林风沁林苑,4室1厅,---,12,"(1, 11]",2330,2330,2330,2330,押一付三,---
---,杭州,上城区,崔家巷,1室1厅,---,59,"(5, 15]",4430,4430,4430,4430,押一付三,---
---,杭州,上城区,望江家园东园,3室1厅,---,19,"(1, 11]",2630,2630,2630,2630,押一付三,---
---,杭州,上城区,钱江御府,4室1厅,---,17,"(1, 11]",2430,2430,2430,2430,押一付三,---
---,杭州,上城区,钱塘名都,4室1厅,---,13,"(1, 11]",2390,2390,2390,2390,押一付三,---
---,杭州,上城区,婺江家园一园,3室1厅,---,12,"(1, 11]",2690,2690,2690,2690,押一付三,---
---,杭州,上城区,银枪新村,1室1厅,---,38,"(3, 13]",3620,3620,3620,3620,押一付三,---
---,杭州,上城区,联珠里,2室1厅,---,39,"(3, 13]",4700,4700,4700,4700,押一付三,---
---,杭州,上城区,金隆花园,2室1厅,---,51,"(5, 15]",4990,4990,4990,4990,押一付三,---
---,杭州,上城区,耀江福村,4室1厅,---,18,"(1, 11]",2890,2890,2890,2890,押一付三,---
---,杭州,上城区,望江家园西园,3室1厅,---,17,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,上城区,长庆里,2室1厅,---,10,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,上城区,婺江家园四园,4室1厅,---,9,"(0, 10]",2030,2030,2030,2030,押一付三,---
---,杭州,上城区,康都紫轩,3室1厅,---,10,"(1, 11]",1960,1960,1960,1960,押一付三,---
---,杭州,上城区,复兴南苑,3室1厅,---,6,"(0, 10]",1560,1560,1560,1560,押一付三,---
---,杭州,上城区,山南人家,3室1厅,---,16,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,上城区,蓝江公寓,5室2厅,---,10,"(1, 11]",1690,1690,1690,1690,押一付三,---
---,杭州,上城区,复兴南苑,4室1厅,---,12,"(1, 11]",1960,1960,1960,1960,押一付三,---
---,杭州,上城区,复兴城市家园,4室1厅,---,10,"(1, 11]",1890,1890,1890,1890,押一付三,---
---,杭州,上城区,白塔人家,3室1厅,---,14,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,上城区,鸥江公寓,4室1厅,---,10,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,上城区,钱江苑,4室1厅,---,11,"(1, 11]",2190,2190,2190,2190,押一付三,---
---,杭州,上城区,钱塘名都,4室1厅,---,12,"(1, 11]",2230,2230,2230,2230,押一付三,---
---,杭州,上城区,望江新园三园,4室1厅,---,14,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,上城区,联珠里,3室1厅,---,13,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,上城区,白塔人家,2室1厅,---,10,"(1, 11]",2060,2060,2060,2060,押一付三,---
---,杭州,上城区,婺江家园一园,1室1厅,---,58,"(5, 15]",5690,5690,5690,5690,押一付三,---
---,杭州,上城区,闻潮尚庭,4室2厅,---,11,"(1, 11]",1990,1990,1990,1990,押一付三,---
---,杭州,上城区,钱塘雅苑,4室1厅,---,11,"(1, 11]",2060,2060,2060,2060,押一付三,---
---,杭州,上城区,钱江御府,4室1厅,---,15,"(1, 11]",2430,2430,2430,2430,押一付三,---
---,杭州,上城区,清泰街小区,3室1厅,---,6,"(0, 10]",1690,1690,1690,1690,押一付三,---
---,杭州,上城区,清泰街小区,4室0厅,---,5,"(0, 10]",1660,1660,1660,1660,押一付三,---
---,杭州,上城区,望江家园西园,3室1厅,---,12,"(1, 11]",2090,2090,2090,2090,押一付三,---
---,杭州,上城区,婺江家园一园,3室1厅,---,10,"(1, 11]",2090,2090,2090,2090,押一付三,---
---,杭州,上城区,复兴城市家园,5室1厅,---,17,"(1, 11]",1930,1930,1930,1930,押一付三,---
---,杭州,上城区,钱江时代公寓,4室1厅,---,22,"(2, 12]",2760,2760,2760,2760,押一付三,---
---,杭州,上城区,联珠里,3室1厅,---,12,"(1, 11]",2490,2490,2490,2490,押一付三,---
---,杭州,上城区,钱塘人家,5室1厅,---,16,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,上城区,近江家园五园,3室1厅,---,10,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,上城区,乌龙巷1-8号,3室1厅,---,19,"(1, 11]",2360,2360,2360,2360,押一付三,---
---,杭州,上城区,锦花苑,3室2厅,---,15,"(1, 11]",2390,2390,2390,2390,押一付三,---
---,杭州,上城区,钱塘名都,4室1厅,---,14,"(1, 11]",2300,2300,2300,2300,押一付三,---
---,杭州,上城区,紫花苑,4室2厅,---,12,"(1, 11]",2000,2000,2000,2000,押一付三,---
---,杭州,上城区,大学苑,4室1厅,---,10,"(1, 11]",1990,1990,1990,1990,押一付三,---
---,杭州,上城区,近江家园三园,4室2厅,---,12,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,上城区,信余里,3室1厅,---,11,"(1, 11]",2590,2590,2590,2590,押一付三,---
---,杭州,上城区,皮市巷,3室1厅,---,10,"(1, 11]",2230,2230,2230,2230,押一付三,---
---,杭州,上城区,惠民路,1室1厅,---,52,"(5, 15]",4260,4260,4260,4260,押一付三,---
---,杭州,上城区,建国南苑,2室1厅,---,7,"(0, 10]",1990,1990,1990,1990,押一付三,---
---,杭州,上城区,福利新村,2室1厅,---,6,"(0, 10]",2030,2030,2030,2030,押一付三,---
---,杭州,上城区,南光坊,3室1厅,---,17,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,上城区,婺江家园二园,4室1厅,---,10,"(1, 11]",2090,2090,2090,2090,押一付三,---
---,杭州,上城区,大学苑,4室1厅,---,10,"(1, 11]",1990,1990,1990,1990,押一付三,---
---,杭州,上城区,信余里,3室1厅,---,12,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,上城区,断河头,1室1厅,---,49,"(4, 14]",5900,5900,5900,5900,押一付三,---
---,杭州,上城区,美政花苑,4室1厅,---,7,"(0, 10]",1660,1660,1660,1660,押一付三,---
---,杭州,上城区,江韵园,4室2厅,---,19,"(1, 11]",2860,2860,2860,2860,押一付三,---
---,杭州,上城区,雪峰清泰花苑,6室1厅,---,19,"(1, 11]",2460,2460,2460,2460,押一付三,---
---,杭州,上城区,丰家兜8号,1室1厅,---,64,"(6, 16]",6160,6160,6160,6160,押一付三,---
---,杭州,上城区,钱江御府,4室1厅,---,14,"(1, 11]",2230,2230,2230,2230,押一付三,---
---,杭州,上城区,中山苑,4室1厅,---,11,"(1, 11]",2060,2060,2060,2060,押一付三,---
---,杭州,上城区,后市街,2室1厅,---,25,"(2, 12]",2560,2560,2560,2560,押一付三,---
---,杭州,上城区,金棕榈花园,5室1厅,---,14,"(1, 11]",2230,2230,2230,2230,押一付三,---
---,杭州,上城区,十亩田家园,2室1厅,---,5,"(0, 10]",1790,1790,1790,1790,押一付三,---
---,杭州,上城区,凤山路79号,2室1厅,---,14,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,上城区,祠堂巷,4室2厅,---,9,"(0, 10]",2130,2130,2130,2130,押一付三,---
---,杭州,上城区,耀江福村,4室1厅,---,10,"(1, 11]",1990,1990,1990,1990,押一付三,---
---,杭州,上城区,钱塘雅苑,4室1厅,---,10,"(1, 11]",1930,1930,1930,1930,押一付三,---
---,杭州,上城区,婺江家园二园,4室1厅,---,12,"(1, 11]",2200,2200,2200,2200,押一付三,---
---,杭州,上城区,十亩田家园,4室1厅,---,10,"(1, 11]",1730,1730,1730,1730,押一付三,---
---,杭州,上城区,世纪坊,4室1厅,---,10,"(1, 11]",1930,1930,1930,1930,押一付三,---
---,杭州,上城区,赞成林风沁林苑,4室1厅,---,11,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,上城区,后市街,2室1厅,---,14,"(1, 11]",2390,2390,2390,2390,押一付三,---
---,杭州,上城区,断河头,2室1厅,---,52,"(5, 15]",4560,4560,4560,4560,押一付三,---
---,杭州,上城区,小河下小区,1室1厅,---,40,"(4, 14]",4290,4290,4290,4290,押一付三,---
---,杭州,上城区,婺江家园一园,3室1厅,---,11,"(1, 11]",2130,2130,2130,2130,押一付三,---
---,杭州,上城区,文华苑,3室1厅,---,15,"(1, 11]",2200,2200,2200,2200,押一付三,---
---,杭州,上城区,春江名苑,4室1厅,---,10,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,上城区,宋浇造巷,3室1厅,---,5,"(0, 10]",1660,1660,1660,1660,押一付三,---
---,杭州,上城区,南班巷,1室1厅,---,34,"(3, 13]",3800,3800,3800,3800,押一付三,---
---,杭州,上城区,凤凰南苑,3室1厅,---,18,"(1, 11]",2500,2500,2500,2500,押一付三,---
---,杭州,上城区,望江新园一园,3室1厅,---,8,"(0, 10]",1830,1830,1830,1830,押一付三,---
---,杭州,上城区,婺江家园一园,4室1厅,---,16,"(1, 11]",2490,2490,2490,2490,押一付三,---
---,杭州,上城区,近江苑,3室1厅,---,6,"(0, 10]",1600,1600,1600,1600,押一付三,---
---,杭州,上城区,高官弄公寓,4室2厅,---,17,"(1, 11]",2560,2560,2560,2560,押一付三,---
---,杭州,上城区,城南家园,4室1厅,---,12,"(1, 11]",2090,2090,2090,2090,押一付三,---
---,杭州,上城区,华藏寺巷,3室1厅,---,18,"(1, 11]",2390,2390,2390,2390,押一付三,---
---,杭州,上城区,乌龙巷,2室1厅,---,8,"(0, 10]",2130,2130,2130,2130,押一付三,---
---,杭州,上城区,水澄花园南苑,4室1厅,---,29,"(2, 12]",2600,2600,2600,2600,押一付三,---
---,杭州,上城区,城南家园,4室1厅,---,16,"(1, 11]",2260,2260,2260,2260,押一付三,---
---,杭州,上城区,凤凰南苑,3室1厅,---,10,"(1, 11]",1800,1800,1800,1800,押一付三,---
---,杭州,上城区,恒丰坊,4室1厅,---,12,"(1, 11]",2090,2090,2090,2090,押一付三,---
---,杭州,上城区,复兴路27号,3室1厅,---,17,"(1, 11]",2490,2490,2490,2490,押一付三,---
---,杭州,上城区,滨江新苑,3室1厅,---,7,"(0, 10]",1890,1890,1890,1890,押一付三,---
---,杭州,上城区,佑圣观路44号,3室1厅,---,16,"(1, 11]",2260,2260,2260,2260,押一付三,---
---,杭州,上城区,美政花苑,4室1厅,---,8,"(0, 10]",1730,1730,1730,1730,押一付三,---
---,杭州,上城区,钱塘人家,4室1厅,---,17,"(1, 11]",2330,2330,2330,2330,押一付三,---
---,杭州,上城区,闻潮尚庭,4室2厅,---,13,"(1, 11]",2400,2400,2400,2400,押一付三,---
---,杭州,上城区,钱江时代公寓,3室1厅,---,14,"(1, 11]",2360,2360,2360,2360,押一付三,---
---,杭州,上城区,近江家园五园,3室1厅,---,17,"(1, 11]",2390,2390,2390,2390,押一付三,---
---,杭州,上城区,山南人家,3室2厅,---,20,"(2, 12]",2490,2490,2490,2490,押一付三,---
---,杭州,上城区,光复路22号,3室1厅,---,12,"(1, 11]",2490,2490,2490,2490,押一付三,---
---,杭州,上城区,滨江家园,3室1厅,---,9,"(0, 10]",1830,1830,1830,1830,押一付三,---
---,杭州,上城区,近江家园一园,5室1厅,---,11,"(1, 11]",1890,1890,1890,1890,押一付三,---
---,杭州,上城区,望江家园东园,3室1厅,---,14,"(1, 11]",2390,2390,2390,2390,押一付三,---
---,杭州,上城区,积善坊巷,3室1厅,---,15,"(1, 11]",2360,2360,2360,2360,押一付三,---
---,杭州,上城区,祠堂巷,4室2厅,---,11,"(1, 11]",2360,2360,2360,2360,押一付三,---
---,杭州,上城区,康都紫轩,3室1厅,---,10,"(1, 11]",2090,2090,2090,2090,押一付三,---
---,杭州,上城区,婺江家园三园,3室1厅,---,14,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,上城区,近江家园四园,5室2厅,---,49,"(4, 14]",2400,2400,2400,2400,押一付三,---
---,杭州,上城区,复兴南苑,5室1厅,---,12,"(1, 11]",1900,1900,1900,1900,押一付三,---
---,杭州,上城区,春江名苑,4室1厅,---,14,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,上城区,钱塘人家,5室1厅,---,9,"(0, 10]",1870,1870,1870,1870,押一付三,---
---,杭州,上城区,山南人家,3室1厅,---,7,"(0, 10]",1760,1760,1760,1760,押一付三,---
---,杭州,上城区,望江新园二园,2室1厅,---,9,"(0, 10]",2330,2330,2330,2330,押一付三,---
---,杭州,上城区,凤山花苑,3室1厅,---,13,"(1, 11]",2290,2290,2290,2290,押一付三,---
---,杭州,上城区,临江风帆公寓,4室1厅,---,11,"(1, 11]",1860,1860,1860,1860,押一付三,---
---,杭州,上城区,美政花苑,3室1厅,---,12,"(1, 11]",1860,1860,1860,1860,押一付三,---
---,杭州,上城区,乌龙巷1-8号,4室1厅,---,14,"(1, 11]",2040,2040,2040,2040,押一付三,---
---,杭州,上城区,城南家园,4室1厅,---,7,"(0, 10]",1760,1760,1760,1760,押一付三,---
---,杭州,上城区,望江家园西园,3室1厅,---,6,"(0, 10]",1800,1800,1800,1800,押一付三,---
---,杭州,上城区,钱塘雅苑,4室1厅,---,11,"(1, 11]",1960,1960,1960,1960,押一付三,---
---,杭州,上城区,望江家园东园,3室1厅,---,17,"(1, 11]",2390,2390,2390,2390,押一付三,---
---,杭州,上城区,中山苑,4室1厅,---,11,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,上城区,复兴城市家园,5室1厅,---,17,"(1, 11]",2060,2060,2060,2060,押一付三,---
---,杭州,上城区,万新大厦,3室2厅,---,60,"(6, 16]",4000,4000,4000,4000,押一付三,---
---,杭州,上城区,北落马营,1室1厅,---,33,"(3, 13]",3130,3130,3130,3130,押一付三,---
---,杭州,上城区,小米巷,2室1厅,---,67,"(6, 16]",4690,4690,4690,4690,押一付三,---
---,杭州,上城区,耀江福村,1室1厅,---,94,"(9, 19]",7000,7000,7000,7000,押一付三,---
---,杭州,上城区,祠堂巷,1室1厅,---,39,"(3, 13]",4560,4560,4560,4560,押一付三,---
---,杭州,上城区,凤山路79号,1室1厅,---,53,"(5, 15]",4030,4030,4030,4030,押一付三,---
---,杭州,上城区,开元路小区,1室1厅,---,51,"(5, 15]",3830,3830,3830,3830,押一付三,---
---,杭州,上城区,秋涛南苑,1室1厅,---,65,"(6, 16]",4530,4530,4530,4530,押一付三,---
---,杭州,上城区,中山中路460-466号,1室1厅,---,55,"(5, 15]",4100,4100,4100,4100,押一付三,---
---,杭州,上城区,春江花月,1室2厅,---,160,"(16, 26]",7760,7760,7760,7760,押一付三,---
---,杭州,上城区,近江家园四园,2室1厅,---,7,"(0, 10]",1960,1960,1960,1960,押一付三,---
---,杭州,上城区,大学路新村,1室1厅,---,76,"(7, 17]",5260,5260,5260,5260,押一付三,---
---,杭州,上城区,世纪坊,1室2厅,---,91,"(9, 19]",7060,7060,7060,7060,押一付三,---
---,杭州,上城区,由义弄,1室1厅,---,37,"(3, 13]",3730,3730,3730,3730,押一付三,---
---,杭州,上城区,大学路新村,1室1厅,---,37,"(3, 13]",2600,2600,2600,2600,押一付三,---
---,杭州,上城区,光复路南,1室1厅,---,49,"(4, 14]",4200,4200,4200,4200,押一付三,---
---,杭州,上城区,惠民路,1室1厅,---,60,"(6, 16]",3530,3530,3530,3530,押一付三,---
---,杭州,上城区,秋涛发展大厦,1室1厅,---,45,"(4, 14]",3430,3430,3430,3430,押一付三,---
---,杭州,上城区,白塔人家,3室1厅,---,8,"(0, 10]",1630,1630,1630,1630,押一付三,---
---,杭州,上城区,积善坊巷,1室1厅,---,33,"(3, 13]",4230,4230,4230,4230,押一付三,---
---,杭州,上城区,八卦新村西区,3室1厅,---,18,"(1, 11]",1990,1990,1990,1990,押一付三,---
---,杭州,上城区,八卦新村西区,3室1厅,---,10,"(1, 11]",1590,1590,1590,1590,押一付三,---
---,杭州,上城区,名珏公寓,1室0厅,---,51,"(5, 15]",7100,7100,7100,7100,押一付三,---
---,杭州,上城区,近江家园八园,1室1厅,---,45,"(4, 14]",5090,5090,5090,5090,押一付三,---
---,杭州,上城区,光复路北,1室1厅,---,35,"(3, 13]",2760,2760,2760,2760,押一付三,---
---,杭州,上城区,山南人家,3室1厅,---,15,"(1, 11]",2800,2800,2800,2800,押一付三,---
---,杭州,上城区,大学路新村,1室1厅,---,42,"(4, 14]",3000,3000,3000,3000,押一付三,---
---,杭州,上城区,凤凰北苑,3室2厅,---,18,"(1, 11]",2490,2490,2490,2490,押一付三,---
---,杭州,上城区,积善坊巷,1室1厅,---,32,"(3, 13]",4500,4500,4500,4500,押一付三,---
---,杭州,上城区,后市街,1室1厅,---,38,"(3, 13]",4500,4500,4500,4500,押一付三,---
---,杭州,上城区,清泰街486号,1室1厅,---,23,"(2, 12]",2860,2860,2860,2860,押一付三,---
---,杭州,上城区,名珏公寓,1室0厅,---,52,"(5, 15]",6630,6630,6630,6630,押一付三,---
---,杭州,上城区,美政花苑,5室2厅,---,16,"(1, 11]",2160,2160,2160,2160,押一付三,---
---,杭州,上城区,美政花苑,5室2厅,---,13,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,上城区,美政花苑,5室2厅,---,25,"(2, 12]",2390,2390,2390,2390,押一付三,---
---,杭州,上城区,美政花苑,5室2厅,---,13,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,上城区,美政花苑,5室2厅,---,15,"(1, 11]",2130,2130,2130,2130,押一付三,---
---,杭州,上城区,水澄花园北苑,4室2厅,---,11,"(1, 11]",1990,1990,1990,1990,押一付三,---
---,杭州,上城区,邮电路11号,3室1厅,---,12,"(1, 11]",2030,2030,2030,2030,押一付三,---
---,杭州,下城区,杭锅新村,4室1厅,---,13,"(1, 11]",1630,1630,1630,1630,押一付三,---
---,杭州,下城区,天安假日公寓,3室1厅,---,12,"(1, 11]",2156,2156,2156,2156,押一付三,---
---,杭州,下城区,中山北园,4室1厅,---,7,"(0, 10]",1836,1836,1836,1836,押一付三,---
---,杭州,下城区,施家花园,3室1厅,---,12,"(1, 11]",2060,2060,2060,2060,押一付三,---
---,杭州,下城区,竹竿巷,4室1厅,---,18,"(1, 11]",2490,2490,2490,2490,押一付三,---
---,杭州,下城区,朝晖六区,2室1厅,---,13,"(1, 11]",2090,2090,2090,2090,押一付三,---
---,杭州,下城区,老浙大横路一弄,2室1厅,---,10,"(1, 11]",2190,2190,2190,2190,押一付三,---
---,杭州,下城区,五里塘苑,3室1厅,---,17,"(1, 11]",2130,2130,2130,2130,押一付三,---
---,杭州,下城区,现代景苑,4室1厅,---,12,"(1, 11]",2040,2040,2040,2040,押一付三,---
---,杭州,下城区,德胜东村,4室0厅,---,10,"(1, 11]",1560,1560,1560,1560,押一付三,---
---,杭州,下城区,京都苑,2室1厅,---,9,"(0, 10]",2190,2190,2190,2190,押一付三,---
---,杭州,下城区,云龙公寓,4室1厅,---,20,"(2, 12]",2760,2760,2760,2760,押一付三,---
---,杭州,下城区,云天财富中心,1室0厅,---,38,"(3, 13]",2960,2960,2960,2960,押一付三,---
---,杭州,下城区,天安假日公寓,1室2厅,---,84,"(8, 18]",4760,4760,4760,4760,押一付三,---
---,杭州,下城区,中山北园,3室1厅,---,8,"(0, 10]",2123,2123,2123,2123,押一付三,---
---,杭州,下城区,玄坛公寓,2室1厅,---,79,"(7, 17]",6600,6600,6600,6600,押一付三,---
---,杭州,下城区,野风现代中心,1室1厅,---,52,"(5, 15]",4363,4363,4363,4363,押一付三,---
---,杭州,下城区,胭脂新村,2室2厅,---,93,"(9, 19]",5500,5500,5500,5500,押一付三,---
---,杭州,下城区,德胜东村,1室1厅,---,33,"(3, 13]",3500,3500,3500,3500,押一付三,---
---,杭州,下城区,领骏世界,1室1厅,---,47,"(4, 14]",4830,4830,4830,4830,押一付三,---
---,杭州,下城区,云天财富中心,1室1厅,---,37,"(3, 13]",2990,2990,2990,2990,押一付三,---
---,杭州,下城区,孝子坊,2室1厅,---,51,"(5, 15]",5193,5193,5193,5193,押一付三,---
---,杭州,下城区,朝晖五区,1室1厅,---,52,"(5, 15]",4490,4490,4490,4490,押一付三,---
---,杭州,下城区,新德佳苑,2室2厅,---,79,"(7, 17]",4060,4060,4060,4060,押一付三,---
---,杭州,下城区,新坝,1室1厅,---,36,"(3, 13]",3790,3790,3790,3790,押一付三,---
---,杭州,下城区,朝晖一区,1室1厅,---,43,"(4, 14]",5030,5030,5030,5030,押一付三,---
---,杭州,下城区,五里塘苑,1室2厅,---,136,"(13, 23]",8460,8460,8460,8460,押一付三,---
---,杭州,下城区,白泽弄,1室1厅,---,29,"(2, 12]",3560,3560,3560,3560,押一付三,---
---,杭州,下城区,锦园小区,1室1厅,---,70,"(7, 17]",4860,4860,4860,4860,押一付三,---
---,杭州,下城区,野风现代之窗,1室1厅,---,35,"(3, 13]",3590,3590,3590,3590,押一付三,---
---,杭州,下城区,开化路,1室1厅,---,74,"(7, 17]",7390,7390,7390,7390,押一付三,---
---,杭州,下城区,叶家弄,1室1厅,---,47,"(4, 14]",2790,2790,2790,2790,押一付三,---
---,杭州,下城区,新德佳苑,1室1厅,---,79,"(7, 17]",4330,4330,4330,4330,押一付三,---
---,杭州,下城区,朝晖九区,1室2厅,---,74,"(7, 17]",2690,2690,2690,2690,押一付三,---
---,杭州,下城区,云龙公寓,5室1厅,---,9,"(0, 10]",1130,1130,1130,1130,押一付三,---
---,杭州,下城区,五里塘苑,1室2厅,---,140,"(14, 24]",8790,8790,8790,8790,押一付三,---
---,杭州,下城区,朝晖八区,1室1厅,---,54,"(5, 15]",3390,3390,3390,3390,押一付三,---
---,杭州,下城区,清远里,1室1厅,---,42,"(4, 14]",2730,2730,2730,2730,押一付三,---
---,杭州,下城区,春丰苑,1室1厅,---,96,"(9, 19]",6590,6590,6590,6590,押一付三,---
---,杭州,下城区,新德佳苑,1室1厅,---,79,"(7, 17]",4430,4430,4430,4430,押一付三,---
---,杭州,下城区,朝晖四区,1室1厅,---,53,"(5, 15]",4900,4900,4900,4900,押一付三,---
---,杭州,下城区,杭锅新村,1室1厅,---,53,"(5, 15]",4060,4060,4060,4060,押一付三,---
---,杭州,下城区,中江花园,1室1厅,---,94,"(9, 19]",4160,4160,4160,4160,押一付三,---
---,杭州,下城区,新德佳苑,1室1厅,---,89,"(8, 18]",4560,4560,4560,4560,押一付三,---
---,杭州,下城区,朝晖六区,1室1厅,---,52,"(5, 15]",4890,4890,4890,4890,押一付三,---
---,杭州,下城区,云天财富中心,1室1厅,---,37,"(3, 13]",4560,4560,4560,4560,押一付三,---
---,杭州,下城区,领骏世界,1室2厅,---,45,"(4, 14]",5830,5830,5830,5830,押一付三,---
---,杭州,下城区,嘉汇大厦,1室1厅,---,50,"(5, 15]",5590,5590,5590,5590,押一付三,---
---,杭州,下城区,朝晖九区,4室1厅,---,8,"(0, 10]",800,800,800,800,押一付三,---
---,杭州,下城区,领骏世界,1室1厅,---,47,"(4, 14]",4800,4800,4800,4800,押一付三,---
---,杭州,下城区,天安假日公寓,1室2厅,---,102,"(10, 20]",7130,7130,7130,7130,押一付三,---
---,杭州,下城区,中大凤栖花园,4室1厅,---,14,"(1, 11]",2400,2400,2400,2400,押一付三,---
---,杭州,下城区,锦园小区,1室1厅,---,40,"(4, 14]",5090,5090,5090,5090,押一付三,---
---,杭州,下城区,武林路338号,1室1厅,---,54,"(5, 15]",4800,4800,4800,4800,押一付三,---
---,杭州,下城区,朝晖七区,2室1厅,---,13,"(1, 11]",5500,5500,5500,5500,押一付三,---
---,杭州,下城区,回龙庙前一弄,1室1厅,---,55,"(5, 15]",5760,5760,5760,5760,押一付三,---
---,杭州,下城区,潮鸣苑,1室1厅,---,87,"(8, 18]",6460,6460,6460,6460,押一付三,---
---,杭州,下城区,新德佳苑,1室1厅,---,60,"(6, 16]",3160,3160,3160,3160,押一付三,---
---,杭州,下城区,树园,1室1厅,---,53,"(5, 15]",4660,4660,4660,4660,押一付三,---
---,杭州,下城区,新德佳苑,1室1厅,---,58,"(5, 15]",5290,5290,5290,5290,押一付三,---
---,杭州,下城区,仙林福座,1室1厅,---,45,"(4, 14]",5030,5030,5030,5030,押一付三,---
---,杭州,下城区,锦绣天地,1室1厅,---,65,"(6, 16]",6630,6630,6630,6630,押一付三,---
---,杭州,下城区,流水苑,3室2厅,---,15,"(1, 11]",1776,1776,1776,1776,押一付三,---
---,杭州,下城区,领骏世界,1室2厅,---,70,"(7, 17]",5390,5390,5390,5390,押一付三,---
---,杭州,下城区,领骏世界,1室1厅,---,47,"(4, 14]",4830,4830,4830,4830,押一付三,---
---,杭州,下城区,朝晖九区,1室2厅,---,74,"(7, 17]",4730,4730,4730,4730,押一付三,---
---,杭州,下城区,领骏世界,2室1厅,---,21,"(2, 12]",5106,5106,5106,5106,押一付三,---
---,杭州,下城区,羊千弄,2室1厅,---,13,"(1, 11]",2276,2276,2276,2276,押一付三,---
---,杭州,下城区,德胜东村,1室1厅,---,76,"(7, 17]",5860,5860,5860,5860,押一付三,---
---,杭州,下城区,和平小区,3室1厅,---,12,"(1, 11]",7190,7190,7190,7190,押一付三,---
---,杭州,下城区,体育场路34号,1室1厅,---,43,"(4, 14]",3490,3490,3490,3490,押一付三,---
---,杭州,下城区,新德佳苑,1室1厅,---,58,"(5, 15]",5360,5360,5360,5360,押一付三,---
---,杭州,下城区,领骏世界,1室1厅,---,44,"(4, 14]",4760,4760,4760,4760,押一付三,---
---,杭州,下城区,新德佳苑,1室1厅,---,58,"(5, 15]",5290,5290,5290,5290,押一付三,---
---,杭州,下城区,云裳公寓,4室2厅,---,11,"(1, 11]",1893,1893,1893,1893,押一付三,---
---,杭州,下城区,钛合国际,1室1厅,---,40,"(4, 14]",4830,4830,4830,4830,押一付三,---
---,杭州,下城区,潮王人家,1室1厅,---,80,"(8, 18]",6690,6690,6690,6690,押一付三,---
---,杭州,下城区,朝晖八区,3室2厅,---,14,"(1, 11]",1676,1676,1676,1676,押一付三,---
---,杭州,下城区,领骏世界,1室1厅,---,44,"(4, 14]",4800,4800,4800,4800,押一付三,---
---,杭州,下城区,华东园,4室2厅,---,10,"(1, 11]",1706,1706,1706,1706,押一付三,---
---,杭州,下城区,德胜东村,1室2厅,---,90,"(9, 19]",6190,6190,6190,6190,押一付三,---
---,杭州,下城区,艮园社区,1室1厅,---,65,"(6, 16]",4516,4516,4516,4516,押一付三,---
---,杭州,下城区,中北西子花园,7室2厅,---,8,"(0, 10]",1876,1876,1876,1876,押一付三,---
---,杭州,下城区,凤起都市花园,4室1厅,---,13,"(1, 11]",2206,2206,2206,2206,押一付三,---
---,杭州,下城区,流水苑,3室1厅,---,11,"(1, 11]",1536,1536,1536,1536,押一付三,---
---,杭州,下城区,朝晖七区,2室1厅,---,43,"(4, 14]",3330,3330,3330,3330,押一付三,---
---,杭州,下城区,现代景苑,3室1厅,---,11,"(1, 11]",1806,1806,1806,1806,押一付三,---
---,杭州,下城区,三华园,1室1厅,---,35,"(3, 13]",3930,3930,3930,3930,押一付三,---
---,杭州,下城区,骆驼桥东河下,3室1厅,---,20,"(2, 12]",2136,2136,2136,2136,押一付三,---
---,杭州,下城区,德欣城市嘉园,4室2厅,---,15,"(1, 11]",2223,2223,2223,2223,押一付三,---
---,杭州,下城区,太平桥横街,1室1厅,---,37,"(3, 13]",4630,4630,4630,4630,押一付三,---
---,杭州,下城区,泰和苑,4室1厅,---,10,"(1, 11]",2036,2036,2036,2036,押一付三,---
---,杭州,下城区,屏风街,4室1厅,---,13,"(1, 11]",2176,2176,2176,2176,押一付三,---
---,杭州,下城区,新德佳苑,2室1厅,---,12,"(1, 11]",1836,1836,1836,1836,押一付三,---
